,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
405,0.798,0.873,9,-8.631,0,0.0696,0.00373,0.878,0.611,0.709,127.979,audio_features,1ur7LR2NpipjxbjxnNCzaW,spotify:track:1ur7LR2NpipjxbjxnNCzaW,https://api.spotify.com/v1/tracks/1ur7LR2NpipjxbjxnNCzaW,https://api.spotify.com/v1/audio-analysis/1ur7LR2NpipjxbjxnNCzaW,239395,4
406,0.73,0.849,2,-6.899,1,0.0378,0.00172,0.82,0.159,0.688,125.99,audio_features,5h2ED2Bw6lKWZDOuQTTSDG,spotify:track:5h2ED2Bw6lKWZDOuQTTSDG,https://api.spotify.com/v1/tracks/5h2ED2Bw6lKWZDOuQTTSDG,https://api.spotify.com/v1/audio-analysis/5h2ED2Bw6lKWZDOuQTTSDG,186687,4
407,0.731,0.843,11,-6.107,1,0.06,8.2e-05,0.856,0.0338,0.683,124.01,audio_features,4h5lIgv0ieD33nIC48OJU1,spotify:track:4h5lIgv0ieD33nIC48OJU1,https://api.spotify.com/v1/tracks/4h5lIgv0ieD33nIC48OJU1,https://api.spotify.com/v1/audio-analysis/4h5lIgv0ieD33nIC48OJU1,340960,4
408,0.773,0.819,0,-5.946,0,0.118,0.428,0.0,0.0679,0.585,92.987,audio_features,3dhjNA0jGA8vHBQ1VdD6vV,spotify:track:3dhjNA0jGA8vHBQ1VdD6vV,https://api.spotify.com/v1/tracks/3dhjNA0jGA8vHBQ1VdD6vV,https://api.spotify.com/v1/audio-analysis/3dhjNA0jGA8vHBQ1VdD6vV,269187,4
409,0.679,0.587,7,-7.015,1,0.276,0.141,6.35e-06,0.137,0.486,186.003,audio_features,7MXVkk9YMctZqd1Srtv4MB,spotify:track:7MXVkk9YMctZqd1Srtv4MB,https://api.spotify.com/v1/tracks/7MXVkk9YMctZqd1Srtv4MB,https://api.spotify.com/v1/audio-analysis/7MXVkk9YMctZqd1Srtv4MB,230453,4
410,0.92,0.914,7,-4.555,1,0.0444,0.0222,7.62e-05,0.114,0.974,135.923,audio_features,73mlvsfJM2qwlDUJxeaatI,spotify:track:73mlvsfJM2qwlDUJxeaatI,https://api.spotify.com/v1/tracks/73mlvsfJM2qwlDUJxeaatI,https://api.spotify.com/v1/audio-analysis/73mlvsfJM2qwlDUJxeaatI,314557,4
411,0.64,0.844,2,-8.412,0,0.0374,0.395,0.933,0.0827,0.364,119.042,audio_features,2lJ4d8MCT6ZlDRHKJ1br14,spotify:track:2lJ4d8MCT6ZlDRHKJ1br14,https://api.spotify.com/v1/tracks/2lJ4d8MCT6ZlDRHKJ1br14,https://api.spotify.com/v1/audio-analysis/2lJ4d8MCT6ZlDRHKJ1br14,352247,4
412,0.545,0.507,1,-12.187,0,0.0484,0.165,0.00187,0.272,0.26,155.967,audio_features,3rymaIjTcIIM1OJLNTfcc0,spotify:track:3rymaIjTcIIM1OJLNTfcc0,https://api.spotify.com/v1/tracks/3rymaIjTcIIM1OJLNTfcc0,https://api.spotify.com/v1/audio-analysis/3rymaIjTcIIM1OJLNTfcc0,170504,4
413,0.743,0.712,9,-5.018,0,0.0624,0.0759,0.0,0.0785,0.884,107.013,audio_features,5hTVVdQwPOFEGAD4sdQLqN,spotify:track:5hTVVdQwPOFEGAD4sdQLqN,https://api.spotify.com/v1/tracks/5hTVVdQwPOFEGAD4sdQLqN,https://api.spotify.com/v1/audio-analysis/5hTVVdQwPOFEGAD4sdQLqN,268533,4
414,0.668,0.809,4,-4.67,0,0.127,0.00812,0.0,0.387,0.528,122.975,audio_features,2n988h1oMh1KOO4Yb9YhUK,spotify:track:2n988h1oMh1KOO4Yb9YhUK,https://api.spotify.com/v1/tracks/2n988h1oMh1KOO4Yb9YhUK,https://api.spotify.com/v1/audio-analysis/2n988h1oMh1KOO4Yb9YhUK,216336,4
415,0.712,0.788,2,-5.122,1,0.362,0.0202,0.329,0.0978,0.289,117.13,audio_features,2W29TNaSCiolWbPfQNgNOW,spotify:track:2W29TNaSCiolWbPfQNgNOW,https://api.spotify.com/v1/tracks/2W29TNaSCiolWbPfQNgNOW,https://api.spotify.com/v1/audio-analysis/2W29TNaSCiolWbPfQNgNOW,234960,4
416,0.708,0.87,9,-5.397,0,0.269,0.000936,0.606,0.313,0.541,211.172,audio_features,2kd7tjO1BWkvwSJHoI9ojs,spotify:track:2kd7tjO1BWkvwSJHoI9ojs,https://api.spotify.com/v1/tracks/2kd7tjO1BWkvwSJHoI9ojs,https://api.spotify.com/v1/audio-analysis/2kd7tjO1BWkvwSJHoI9ojs,122068,4
417,0.515,0.43,7,-9.935,1,0.0369,0.0102,0.000141,0.129,0.104,91.841,audio_features,0fuLRqMU6IaRoNAFIUdjPx,spotify:track:0fuLRqMU6IaRoNAFIUdjPx,https://api.spotify.com/v1/tracks/0fuLRqMU6IaRoNAFIUdjPx,https://api.spotify.com/v1/audio-analysis/0fuLRqMU6IaRoNAFIUdjPx,238640,4
418,0.345,0.418,7,-7.787,0,0.0316,0.299,1.75e-05,0.103,0.267,109.044,audio_features,5Yj4AP0JGQWierBFKdKVyS,spotify:track:5Yj4AP0JGQWierBFKdKVyS,https://api.spotify.com/v1/tracks/5Yj4AP0JGQWierBFKdKVyS,https://api.spotify.com/v1/audio-analysis/5Yj4AP0JGQWierBFKdKVyS,198800,3
