,song,artist,date,explicit,uri,popularity,usuario,links,uri_artista
75,Ride,Mako Road,2018-02-07,False,spotify:track:2DAgXtcmEZ8QFV924ZaoB3,0,Elisa,https://open.spotify.com/track/2DAgXtcmEZ8QFV924ZaoB3,5dbCgsqzVweFpd1yYHv3Bz
76,Neverita,Bad Bunny,2022-05-06,False,spotify:track:31i56LZnwE6uSu3exoHjtB,89,Pau,https://open.spotify.com/track/31i56LZnwE6uSu3exoHjtB,4q3ewBCX7sLwd24euuV69X
77,Stir It Up - Original Album Version,Bob Marley & The Wailers,1973-04-13,False,spotify:track:3sqZDdEO5viqNqMCNem5m5,60,Elisa,https://open.spotify.com/track/3sqZDdEO5viqNqMCNem5m5,2QsynagSdAqZj3U9HgDzjD
78,Me Maten - Live at NPR's Tiny Desk,"['C. Tangana', 'Antonio Carmona']",2022-02-18,False,spotify:track:2uFlBIfS4XKyOVPKiIrj5L,54,Miriam,https://open.spotify.com/track/2uFlBIfS4XKyOVPKiIrj5L,"['5TYxZTjIPqKM8K8NuP9woO', '1YVEF2N8QHkkQ84LM51Xyo']"
79,How To Fly,Sticky Fingers,2013-03-08,False,spotify:track:3jAoLij05OiNndX2XlSRdS,0,Elisa,https://open.spotify.com/track/3jAoLij05OiNndX2XlSRdS,3ZGr7nQBXDU2WhyXgRVbt0
80,Junk,Sticky Fingers,2019-02-08,False,spotify:track:652BqeIMJ2ytN3xH82GbH8,24,Elisa,https://open.spotify.com/track/652BqeIMJ2ytN3xH82GbH8,3ZGr7nQBXDU2WhyXgRVbt0
81,Captatio benevolentiae,Manel,2008-11-11,False,spotify:track:5JUXJ7nzuLjMVBhm1RRgAU,35,Pau,https://open.spotify.com/track/5JUXJ7nzuLjMVBhm1RRgAU,40tHhop0T30DwienQBmTxb
82,These Girls,Sticky Fingers,2013-03-08,False,spotify:track:4iURgDfsolmCJtknzWuyxj,0,Elisa,https://open.spotify.com/track/4iURgDfsolmCJtknzWuyxj,3ZGr7nQBXDU2WhyXgRVbt0
83,Fiebre (Prod. King DouDou),Bad Gyal,2016-11-11,False,spotify:track:5xtxxuIqInrLDSfjA6Co3o,65,Ana S,https://open.spotify.com/track/5xtxxuIqInrLDSfjA6Co3o,4F4pp8NUW08JuXwnoxglpN
84,Midnight City,M83,2011-10-17,False,spotify:track:6GyFP1nfCDB8lbD2bG0Hq9,75,Elisa,https://open.spotify.com/track/6GyFP1nfCDB8lbD2bG0Hq9,63MQldklfxkjYDoUE4Tppz
85,Dream A Little Dream Of Me,Louis Armstrong,1968-01-01,False,spotify:track:3HuJDcOWx0gE9Yng2uWY7K,66,Jorge,https://open.spotify.com/track/3HuJDcOWx0gE9Yng2uWY7K,19eLuQmk9aCobbVDHc6eek
86,What A Wonderful World,Louis Armstrong,1968-01-01,False,spotify:track:29U7stRjqHU6rMiS8BfaI9,75,Jorge,https://open.spotify.com/track/29U7stRjqHU6rMiS8BfaI9,19eLuQmk9aCobbVDHc6eek
