,song,artist,date,explicit,uri,popularity,usuario,links,uri_artista
87,Skinny Love,Bon Iver,2008-05-12,False,spotify:track:1HkOPLwAJH3kE8UnqgxF4s,66,Ana,https://open.spotify.com/track/1HkOPLwAJH3kE8UnqgxF4s,4LEiUm1SRbFMgfqnQTwUbQ
88,Holocene,Bon Iver,2011-06-20,True,spotify:track:6DESft0qm6RhoYf5wzeoGH,63,Ana,https://open.spotify.com/track/6DESft0qm6RhoYf5wzeoGH,4LEiUm1SRbFMgfqnQTwUbQ
89,Los Tontos,"['C. Tangana', 'Kiko Veneno']",2021-02-26,False,spotify:track:4DoEHKWh8k6vYDleECQkJx,62,Ana G,https://open.spotify.com/track/4DoEHKWh8k6vYDleECQkJx,"['5TYxZTjIPqKM8K8NuP9woO', '5TDssiSO1YPd3BINGZx3XP']"
90,Velvet Skies,"['Sticky Fingers', 'Lyall Moloney']",2014-08-01,False,spotify:track:6SbWkpn12CJNQgZEQekEcH,0,Elisa,https://open.spotify.com/track/6SbWkpn12CJNQgZEQekEcH,"['3ZGr7nQBXDU2WhyXgRVbt0', '2iKr96W2DghBuLMVMYAtCI']"
91,Sabotatge,Manel,2016-04-08,False,spotify:track:6yYDqeEO3llpMofelDX9Fk,33,Pau,https://open.spotify.com/track/6yYDqeEO3llpMofelDX9Fk,40tHhop0T30DwienQBmTxb
92,Boyfriend,Dove Cameron,2022-02-11,True,spotify:track:59CfNbkERJ3NoTXDvoURjj,82,Miriam,https://open.spotify.com/track/59CfNbkERJ3NoTXDvoURjj,2W8yFh0Ga6Yf3jiayVxwkE
93,Safeword,Rhye,2021-01-22,False,spotify:track:3FIcE9t4VtHLVNwaMSRALs,48,Ana,https://open.spotify.com/track/3FIcE9t4VtHLVNwaMSRALs,2AcUPzkVWo81vumdzeLLRN
94,Cigarettes,Tash Sultana,2018-08-31,True,spotify:track:4ywIrrFcXcD8DTn3EuGYxd,50,Elisa,https://open.spotify.com/track/4ywIrrFcXcD8DTn3EuGYxd,6zVFRTB0Y1whWyH7ZNmywf
95,Untitled,Rex Orange County,2017-04-26,True,spotify:track:40GRJBeHKroMtWwGX9EFyQ,67,Pau,https://open.spotify.com/track/40GRJBeHKroMtWwGX9EFyQ,7pbDxGE6nQSZVfiFdq9lOL
96,Tu Conmigo,"['Vitalic', 'La Bien Querida']",2017-06-23,False,spotify:track:2OJQBsgmB18vFPuzdTrMZQ,42,Ana,https://open.spotify.com/track/2OJQBsgmB18vFPuzdTrMZQ,"['4M84umUNRbZy1mJleyyRM9', '0Wn7tfH4rhaWTn8aMqSgh6']"
97,Open Plan Living,Mako Road,2018-11-30,False,spotify:track:5II4amAAEkKSJOvqu4cYdL,0,Elisa,https://open.spotify.com/track/5II4amAAEkKSJOvqu4cYdL,5dbCgsqzVweFpd1yYHv3Bz
98,Alone,"['Maduk', 'Marianna Ray']",2021-06-25,False,spotify:track:1kXENS7Y2WsnkxBT2Qqj0M,34,Belén,https://open.spotify.com/track/1kXENS7Y2WsnkxBT2Qqj0M,"['6TaaqqCMRMSpvNHClfnbEL', '0PyV4VBxPsxRmInWJWxqkm']"
99,Mystik,Tash Sultana,2017-10-06,False,spotify:track:0NnVzBW6TJLaEzcyXjqRDH,50,Elisa,https://open.spotify.com/track/0NnVzBW6TJLaEzcyXjqRDH,6zVFRTB0Y1whWyH7ZNmywf
100,Rock y Amistad,"['Mujeres', 'Carolina Durante']",2021-05-20,False,spotify:track:2CXmOiHiKbWtVgpOUK6mcx,33,Pau,https://open.spotify.com/track/2CXmOiHiKbWtVgpOUK6mcx,"['5vnfKgHNYLnKeuFA6c2jJO', '2BVE7Pqd8kxv9xEsuvoJoE']"
101,Opus,Eric Prydz,2016-02-05,False,spotify:track:3v2oAQomhOcYCPPHafS3KV,62,Belén,https://open.spotify.com/track/3v2oAQomhOcYCPPHafS3KV,5sm0jQ1mq0dusiLtDJ2b4R
102,Mercadona (Prod. Fakeguido),Bad Gyal,2016-11-11,False,spotify:track:53vCCDv42MGxUmgWUbuhuP,47,Ana S,https://open.spotify.com/track/53vCCDv42MGxUmgWUbuhuP,4F4pp8NUW08JuXwnoxglpN
103,Cariñito,Los Hijos del sol,2017-02-17,False,spotify:track:2jQj5bsJeOad1YoaPWjJHm,52,Miriam,https://open.spotify.com/track/2jQj5bsJeOad1YoaPWjJHm,2eDtYwKCGACUH3hFyaZ7Ah
104,Bad Habit,Steve Lacy,2022-07-15,True,spotify:track:4k6Uh1HXdhtusDW5y8Gbvy,85,Pau,https://open.spotify.com/track/4k6Uh1HXdhtusDW5y8Gbvy,57vWImR43h4CaDao012Ofp
105,Fluorescent Adolescent,Arctic Monkeys,2007-04-22,False,spotify:track:2x8evxqUlF0eRabbW2JBJd,77,Elisa,https://open.spotify.com/track/2x8evxqUlF0eRabbW2JBJd,7Ln80lUS6He07XvHI8qqHH
106,Samurai,Vivi K,2022-06-16,False,spotify:track:5zE7E1lZMKpbxExwtEg8co,32,Belén,https://open.spotify.com/track/5zE7E1lZMKpbxExwtEg8co,4WSOtiDdjEIvAAK6HqvdUg
107,Smthin Like This (Prod. Plata),Bad Gyal,2016-11-11,False,spotify:track:31E9oJvrVjB1iaf3HsdsGc,38,Ana S,https://open.spotify.com/track/31E9oJvrVjB1iaf3HsdsGc,4F4pp8NUW08JuXwnoxglpN
108,Under the Bridge,Red Hot Chili Peppers,1991-09-24,False,spotify:track:3d9DChrdc6BOeFsbrZ3Is0,80,Elisa,https://open.spotify.com/track/3d9DChrdc6BOeFsbrZ3Is0,0L8ExT028jH3ddEcZwqJJ5
109,Pisk Mig Hårdt!!!,Dario Von Slutty,2004-08-01,True,spotify:track:1q3Iuk3nVEwRPj7mR34QYQ,43,Belén,https://open.spotify.com/track/1q3Iuk3nVEwRPj7mR34QYQ,0LTE9Msc6ZOPbGclKsL8cA
110,Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Rihanna,2022-10-28,False,spotify:track:35ovElsgyAtQwYPYnZJECg,86,Belén,https://open.spotify.com/track/35ovElsgyAtQwYPYnZJECg,5pKCCKE2ajJHZ9KAiaK11H
111,I'm Good (Blue),"['David Guetta', 'Bebe Rexha']",2022-08-26,True,spotify:track:4uUG5RXrOk84mYEfFvj3cK,95,Belén,https://open.spotify.com/track/4uUG5RXrOk84mYEfFvj3cK,"['1Cs0zKBU1kc0i8ypK3B9ai', '64M6ah0SkkRsnPGtGiRAbb']"
