,song,artist,date,explicit,uri,popularity,ironhacker,links
75,Ride,Mako Road,2018-02-07,False,spotify:track:2DAgXtcmEZ8QFV924ZaoB3,0,alvarogcambronero,https://open.spotify.com/track/2DAgXtcmEZ8QFV924ZaoB3
76,Neverita,Bad Bunny,2022-05-06,False,spotify:track:31i56LZnwE6uSu3exoHjtB,89,1129644679,https://open.spotify.com/track/31i56LZnwE6uSu3exoHjtB
77,Stir It Up - Original Album Version,Bob Marley & The Wailers,1973-04-13,False,spotify:track:3sqZDdEO5viqNqMCNem5m5,60,alvarogcambronero,https://open.spotify.com/track/3sqZDdEO5viqNqMCNem5m5
78,Me Maten - Live at NPR's Tiny Desk,"['C. Tangana', 'Antonio Carmona']",2022-02-18,False,spotify:track:2uFlBIfS4XKyOVPKiIrj5L,54,miriamplz,https://open.spotify.com/track/2uFlBIfS4XKyOVPKiIrj5L
79,How To Fly,Sticky Fingers,2013-03-08,False,spotify:track:3jAoLij05OiNndX2XlSRdS,0,alvarogcambronero,https://open.spotify.com/track/3jAoLij05OiNndX2XlSRdS
80,Junk,Sticky Fingers,2019-02-08,False,spotify:track:652BqeIMJ2ytN3xH82GbH8,23,alvarogcambronero,https://open.spotify.com/track/652BqeIMJ2ytN3xH82GbH8
81,Captatio benevolentiae,Manel,2008-11-11,False,spotify:track:5JUXJ7nzuLjMVBhm1RRgAU,35,1129644679,https://open.spotify.com/track/5JUXJ7nzuLjMVBhm1RRgAU
82,These Girls,Sticky Fingers,2013-03-08,False,spotify:track:4iURgDfsolmCJtknzWuyxj,0,alvarogcambronero,https://open.spotify.com/track/4iURgDfsolmCJtknzWuyxj
83,Fiebre (Prod. King DouDou),Bad Gyal,2016-11-11,False,spotify:track:5xtxxuIqInrLDSfjA6Co3o,65,annxox,https://open.spotify.com/track/5xtxxuIqInrLDSfjA6Co3o
84,Midnight City,M83,2011-10-17,False,spotify:track:6GyFP1nfCDB8lbD2bG0Hq9,75,alvarogcambronero,https://open.spotify.com/track/6GyFP1nfCDB8lbD2bG0Hq9
85,Dream A Little Dream Of Me,Louis Armstrong,1968-01-01,False,spotify:track:3HuJDcOWx0gE9Yng2uWY7K,66,11159625835,https://open.spotify.com/track/3HuJDcOWx0gE9Yng2uWY7K
86,What A Wonderful World,Louis Armstrong,1968-01-01,False,spotify:track:29U7stRjqHU6rMiS8BfaI9,75,11159625835,https://open.spotify.com/track/29U7stRjqHU6rMiS8BfaI9
87,Skinny Love,Bon Iver,2008-05-12,False,spotify:track:1HkOPLwAJH3kE8UnqgxF4s,66,1183037273,https://open.spotify.com/track/1HkOPLwAJH3kE8UnqgxF4s
88,Holocene,Bon Iver,2011-06-20,True,spotify:track:6DESft0qm6RhoYf5wzeoGH,63,1183037273,https://open.spotify.com/track/6DESft0qm6RhoYf5wzeoGH
89,Los Tontos,"['C. Tangana', 'Kiko Veneno']",2021-02-26,False,spotify:track:4DoEHKWh8k6vYDleECQkJx,61,4bkhftxifirml76m9kdv5m8tf,https://open.spotify.com/track/4DoEHKWh8k6vYDleECQkJx
90,Velvet Skies,"['Sticky Fingers', 'Lyall Moloney']",2014-08-01,False,spotify:track:6SbWkpn12CJNQgZEQekEcH,0,alvarogcambronero,https://open.spotify.com/track/6SbWkpn12CJNQgZEQekEcH
91,Sabotatge,Manel,2016-04-08,False,spotify:track:6yYDqeEO3llpMofelDX9Fk,33,1129644679,https://open.spotify.com/track/6yYDqeEO3llpMofelDX9Fk
92,Boyfriend,Dove Cameron,2022-02-11,True,spotify:track:59CfNbkERJ3NoTXDvoURjj,82,miriamplz,https://open.spotify.com/track/59CfNbkERJ3NoTXDvoURjj
93,Safeword,Rhye,2021-01-22,False,spotify:track:3FIcE9t4VtHLVNwaMSRALs,47,1183037273,https://open.spotify.com/track/3FIcE9t4VtHLVNwaMSRALs
94,Cigarettes,Tash Sultana,2018-08-31,True,spotify:track:4ywIrrFcXcD8DTn3EuGYxd,50,alvarogcambronero,https://open.spotify.com/track/4ywIrrFcXcD8DTn3EuGYxd
95,Untitled,Rex Orange County,2017-04-26,True,spotify:track:40GRJBeHKroMtWwGX9EFyQ,67,1129644679,https://open.spotify.com/track/40GRJBeHKroMtWwGX9EFyQ
96,Tu Conmigo,"['Vitalic', 'La Bien Querida']",2017-06-23,False,spotify:track:2OJQBsgmB18vFPuzdTrMZQ,41,1183037273,https://open.spotify.com/track/2OJQBsgmB18vFPuzdTrMZQ
97,Open Plan Living,Mako Road,2018-11-30,False,spotify:track:5II4amAAEkKSJOvqu4cYdL,0,alvarogcambronero,https://open.spotify.com/track/5II4amAAEkKSJOvqu4cYdL
98,Alone,"['Maduk', 'Marianna Ray']",2021-06-25,False,spotify:track:1kXENS7Y2WsnkxBT2Qqj0M,34,belen.gasset,https://open.spotify.com/track/1kXENS7Y2WsnkxBT2Qqj0M
99,Mystik,Tash Sultana,2017-10-06,False,spotify:track:0NnVzBW6TJLaEzcyXjqRDH,50,alvarogcambronero,https://open.spotify.com/track/0NnVzBW6TJLaEzcyXjqRDH
